County,TotalArea_sqmi,DevArea_1985,DevArea_1995,DevArea_2005,DevArea_2015,DevArea_2024,UEII_1985-1995,UEII_1995-2005,UEII_2005-2015,UEII_2015-2024,Average_UEII
Wakulla,736.5335,0,0,0,0,0,0,0,0,0,0.0000
Jefferson,637.2036,0,0,0,0,0,0,0,0,0,0.0000
Gadsden,529.0682,0,0,0,0,0,0,0,0,0,0.0000
Leon,702.5200,0,0,0,0,0,0,0,0,0,0.0000
DeSoto,640.1747,0,0,0,0,0,0,0,0,0,0.0000
Manatee,894.2013,0,0,0,0,0,0,0,0,0,0.0000
Sarasota,726.4998,0,0,0,0,0,0,0,0,0,0.0000
Charlotte,859.7200,0,0,0,0,0,0,0,0,0,0.0000
Volusia,1434.3123,0,0,0,0,0,0,0,0,0,0.0000
Flagler,571.5388,0,0,0,0,0,0,0,0,0,0.0000
Orange,1004.6423,0,0,0,0,0,0,0,0,0,0.0000
Lake,1158.5266,0,0,0,0,0,0,0,0,0,0.0000
Seminole,345.8169,0,0,0,0,0,0,0,0,0,0.0000
Osceola,1508.3134,0,0,0,0,0,0,0,0,0,0.0000
Sumter,580.6309,0,0,0,0,0,0,0,0,0,0.0000
Escambia,875.5781,0,0,0,0,0,0,0,0,0,0.0000
Santa Rosa,1174.9472,0,0,0,0,0,0,0,0,0,0.0000
Marion,1664.8157,0,0,0,0,0,0,0,0,0,0.0000
Brevard,1559.3187,0,0,0,0,0,0,0,0,0,0.0000
Bay,1034.2699,0,0,0,0,0,0,0,0,0,0.0000
Gulf,745.2821,0,0,0,0,0,0,0,0,0,0.0000
Highlands,1108.5543,0,0,0,0,0,0,0,0,0,0.0000
Hernando,589.8623,0,0,0,0,0,0,0,0,0,0.0000
Pinellas,609.0741,0,0,0,0,0,0,0,0,0,0.0000
Pasco,869.7155,0,0,0,0,0,0,0,0,0,0.0000
Hillsborough,1267.6934,0,0,0,0,0,0,0,0,0,0.0000
Hardee,639.1733,0,0,0,0,0,0,0,0,0,0.0000
Lee,1214.5570,0,0,0,0,0,0,0,0,0,0.0000
Collier,2309.3311,0,0,0,0,0,0,0,0,0,0.0000
Glades,988.5136,0,0,0,0,0,0,0,0,0,0.0000
Calhoun,574.9144,0,0,0,0,0,0,0,0,0,0.0000
Franklin,1038.8445,0,0,0,0,0,0,0,0,0,0.0000
Bradford,300.8330,0,0,0,0,0,0,0,0,0,0.0000
Dixie,864.6996,0,0,0,0,0,0,0,0,0,0.0000
Lafayette,548.5220,0,0,0,0,0,0,0,0,0,0.0000
Hamilton,519.5899,0,0,0,0,0,0,0,0,0,0.0000
Levy,1414.5826,0,0,0,0,0,0,0,0,0,0.0000
Holmes,489.5136,0,0,0,0,0,0,0,0,0,0.0000
Suwannee,693.0109,0,0,0,0,0,0,0,0,0,0.0000
Taylor,1233.5897,0,0,0,0,0,0,0,0,0,0.0000
Union,250.0346,0,0,0,0,0,0,0,0,0,0.0000
Madison,716.4371,0,0,0,0,0,0,0,0,0,0.0000
Jackson,955.4848,0,0,0,0,0,0,0,0,0,0.0000
Washington,616.5735,0,0,0,0,0,0,0,0,0,0.0000
Liberty,844.0325,0,0,0,0,0,0,0,0,0,0.0000
Hendry,1191.9950,0,0,0,0,0,0,0,0,0,0.0000
Walton,1240.8578,0,0,0,0,0,0,0,0,0,0.0000
Okaloosa,1083.1528,0,0,0,0,0,0,0,0,0,0.0000
Citrus,774.2943,0,0,0,0,0,0,0,0,0,0.0000
Monroe,3745.0341,0,0,0,0,0,0,0,0,0,0.0000
Polk,2013.5103,0,0,0,0,0,0,0,0,0,0.0000
St. Johns,822.4788,0,0,0,0,0,0,0,0,0,0.0000
Baker,589.5995,0,0,0,0,0,0,0,0,0,0.0000
Clay,644.2825,0,0,0,0,0,0,0,0,0,0.0000
Nassau,726.6476,0,0,0,0,0,0,0,0,0,0.0000
Putnam,827.9274,0,0,0,0,0,0,0,0,0,0.0000
Broward,1325.2928,0,0,0,0,0,0,0,0,0,0.0000
Palm Beach,2387.3949,0,0,0,0,0,0,0,0,0,0.0000
Miami-Dade,2435.9984,0,0,0,0,0,0,0,0,0,0.0000
Okeechobee,893.3836,0,0,0,0,0,0,0,0,0,0.0000
Martin,754.4100,0,0,0,0,0,0,0,0,0,0.0000
St. Lucie,688.9763,0,0,0,0,0,0,0,0,0,0.0000
Indian River,617.8793,0,0,0,0,0,0,0,0,0,0.0000
Gilchrist,355.6613,0,0,0,0,0,0,0,0,0,0.0000
Alachua,969.9676,0,0,0,0,0,0,0,0,0,0.0000
Columbia,802.1820,0,0,0,0,0,0,0,0,0,0.0000
Duval,919.4363,0,0,0,0,0,0,0,0,0,0.0000
